TestNo,Area,ResolutionX,ResolutionY,Channel,ClusterSize,MaxIter,ImageWeight,PressureWeight,WindWeight,RingSize
Test_0,0.95,360,360,1,10,300,0,0,0,"[10,20,30,40,50,60,80,100,120,140,170,200,230,260,270,300,330,361]"
Test_1,0.95,360,360,1,10,300,0,0,0,0
Test_2,0.95,360,360,1,11,300,0,0,0,"[10,20,30,40,50,60,80,100,120,140,170,200,230,260,270,300,330,361]"
Test_3,0.95,360,360,1,11,300,0,0,0,0
Test_4,0.95,360,360,1,12,300,0,0,0,"[10,20,30,40,50,60,80,100,120,140,170,200,230,260,270,300,330,361]"
Test_5,0.95,360,360,1,12,300,0,0,0,0
Test_6,0.95,360,360,1,13,300,0,0,0,"[10,20,30,40,50,60,80,100,120,140,170,200,230,260,270,300,330,361]"
Test_7,0.95,360,360,1,13,300,0,0,0,0
Test_8,0.95,360,360,1,14,300,0,0,0,"[10,20,30,40,50,60,80,100,120,140,170,200,230,260,270,300,330,361]"
Test_9,0.95,360,360,1,14,300,0,0,0,0
Test_10,0.95,360,360,1,15,300,0,0,0,"[10,20,30,40,50,60,80,100,120,140,170,200,230,260,270,300,330,361]"
Test_11,0.95,360,360,1,15,300,0,0,0,0
Test_12,0.95,360,360,1,16,300,0,0,0,"[10,20,30,40,50,60,80,100,120,140,170,200,230,260,270,300,330,361]"
Test_13,0.95,360,360,1,16,300,0,0,0,0
Test_14,0.95,360,360,1,17,300,0,0,0,"[10,20,30,40,50,60,80,100,120,140,170,200,230,260,270,300,330,361]"
Test_15,0.95,360,360,1,17,300,0,0,0,0
Test_16,0.95,360,360,1,18,300,0,0,0,"[10,20,30,40,50,60,80,100,120,140,170,200,230,260,270,300,330,361]"
Test_17,0.95,360,360,1,18,300,0,0,0,0
